review_id,review_text,sentiment_label,sentiment_score,identified_theme(s)
0,this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,POSITIVE,0.998467981815338,User Experience and Efficiency
1,why didn't work this app?,NEGATIVE,0.9991324543952942,User Experience and Efficiency
2,the app makes our life easier. thank you cbe!,POSITIVE,0.9996963739395142,Positive App Features/Experience
3,this app very bad 👎,NEGATIVE,0.9997968077659608,App Quality and Services
4,the most advanced app. but how to stay safe?,NEGATIVE,0.9565094709396362,Positive App Features/Experience
5,good application,POSITIVE,0.999854564666748,Positive App Features/Experience
6,it is nice app,POSITIVE,0.9998478889465332,App Quality and Services
7,best,POSITIVE,0.9997941851615906,App Quality and Services
8,good app,POSITIVE,0.9998493194580078,Positive App Features/Experience
9,"it suddenly asked me to enter the verification key i received. and it (*get your verification key from the nearest cbe branch*) now i'm in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",NEGATIVE,0.9993435740470886,Positive App Features/Experience
10,nice app...,POSITIVE,0.9997116923332214,App Quality and Services
11,very good banking service and fast service,POSITIVE,0.9998499155044556,Positive App Features/Experience
12,thanks blc this app help me to use all time,POSITIVE,0.997163951396942,Positive App Features/Experience
13,good,POSITIVE,0.999816119670868,Positive App Features/Experience
14,why we can't send money to other people telebirr wallets??,NEGATIVE,0.9984826445579528,Positive App Features/Experience
15,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,NEGATIVE,0.9856644868850708,App Functionality/Issues
16,በጣም ቀላልና ምቹ ነው።,NEGATIVE,0.8832131028175354,General Banking Operations
17,wow,POSITIVE,0.999592125415802,User Experience and Efficiency
18,nice,POSITIVE,0.9998552799224854,App Quality and Services
19,you are the reason why i got ye chogara himem,NEGATIVE,0.9818922877311708,App Functionality/Issues
20,it is so smart app i recommend it for everyone,POSITIVE,0.9998483657836914,App Quality and Services
21,excellent,POSITIVE,0.9998434782028198,App Quality and Services
22,ዳጊ,NEGATIVE,0.6970565915107727,User Experience and Efficiency
23,absolutely right,POSITIVE,0.9998525381088256,General Banking Operations
24,mid application it's so annoying,NEGATIVE,0.9997883439064026,General Banking Operations
25,i used morethan one year,NEGATIVE,0.9802079796791076,General Banking Operations
26,no word can explane about this app it is nice 👍👍👍👍👍,NEGATIVE,0.9920698404312134,App Quality and Services
27,"it's great app,i love this app",POSITIVE,0.9998750686645508,Positive App Features/Experience
28,suckkkks,NEGATIVE,0.9737536311149596,General Banking Operations
29,not allowing to transfer and showing current statement updates.,NEGATIVE,0.9991471767425536,User Experience and Efficiency
30,i love you this app,POSITIVE,0.9998642206192015,User Experience and Efficiency
31,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",POSITIVE,0.9993645548820496,Positive App Features/Experience
32,make life easy,POSITIVE,0.999527096748352,App Quality and Services
33,securr,NEGATIVE,0.989194393157959,Positive App Features/Experience
34,my most optional bank,POSITIVE,0.7555266618728638,Positive App Features/Experience
35,5 star,POSITIVE,0.9964116215705872,App Quality and Services
36,it is fantastic app.,POSITIVE,0.9998733997344972,App Quality and Services
37,sifen,NEGATIVE,0.8473550081253052,General Banking Operations
38,i like this√,POSITIVE,0.9998555183410645,Positive App Features/Experience
39,ok,POSITIVE,0.9997851252555848,App Quality and Services
40,ጥሩ app ነዉ ። የኔ የግል አስተያየት- update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,NEGATIVE,0.9916301369667052,App Functionality/Issues
41,"seriously, what’s going on with this app? the ""pay to beneficiary"" option is completely disabled for android users, yet ios users get full access without restrictions. why are android users being treated like second class customers? it’s the same app, the same service, but clearly not the same experience. this kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. right now, it just feels unfair and frustrating.",NEGATIVE,0.9996232986450196,User Experience and Efficiency
42,like,POSITIVE,0.9910564422607422,Positive App Features/Experience
43,nice and very useful app i like it!,POSITIVE,0.999858856201172,App Quality and Services
44,smart app,POSITIVE,0.999789297580719,App Quality and Services
45,sync problem may 22 2025 but the date stack on may 8 2025 help pls,NEGATIVE,0.992516815662384,User Experience and Efficiency
46,cbe is my choice,POSITIVE,0.9987378716468812,General Banking Operations
47,awesome,POSITIVE,0.9998682737350464,General Banking Operations
48,i am not able to transfer. the app is not responding,NEGATIVE,0.999775230884552,App Quality and Services
49,very convenient app,POSITIVE,0.994573414325714,App Quality and Services
50,excellent but sometimes can not connect,NEGATIVE,0.9832204580307008,App Quality and Services
51,wow apk,POSITIVE,0.9992477893829346,User Experience and Efficiency
52,best 100 %,POSITIVE,0.9998010993003844,App Quality and Services
53,bad app,NEGATIVE,0.9997212290763856,App Quality and Services
54,best app,POSITIVE,0.999686598777771,Positive App Features/Experience
