bank_id,review_text,cleaned_review,rating,review_date,sentiment_label,sentiment_score,source
1,this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,this application is very important and advantage for transfer of money and finance in the coutry and foriegn country,5,2025-11-27,POSITIVE,0.998467981815338,Google Play Store
1,why didn't work this app?,why didnt work this app,1,2025-11-27,NEGATIVE,0.9991324543952942,Google Play Store
1,the app makes our life easier. thank you cbe!,the app makes our life easier thank you cbe,5,2025-11-27,POSITIVE,0.9996963739395142,Google Play Store
1,this app very bad 👎,this app very bad 👎,1,2025-11-27,NEGATIVE,0.9997968077659608,Google Play Store
1,the most advanced app. but how to stay safe?,the most advanced app but how to stay safe,5,2025-11-27,NEGATIVE,0.9565094709396362,Google Play Store
1,good application,good application,4,2025-11-27,POSITIVE,0.999854564666748,Google Play Store
1,it is nice app,it is nice app,5,2025-11-26,POSITIVE,0.9998478889465332,Google Play Store
1,best,best,5,2025-11-25,POSITIVE,0.9997941851615906,Google Play Store
1,good app,good app,5,2025-11-25,POSITIVE,0.9998493194580078,Google Play Store
1,"it suddenly asked me to enter the verification key i received. and it (*get your verification key from the nearest cbe branch*) now i'm in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",it suddenly asked me to enter the verification key i received and it get your verification key from the nearest cbe branch now im in australia what do you expect me to do there is no nearest or furthermost cbe branch so frustrating how can i manage my bank account now,1,2025-11-25,NEGATIVE,0.9993435740470886,Google Play Store
1,nice app...,nice app,5,2025-11-25,POSITIVE,0.9997116923332214,Google Play Store
1,very good banking service and fast service,very good banking service and fast service,5,2025-11-24,POSITIVE,0.9998499155044556,Google Play Store
1,thanks blc this app help me to use all time,thanks blc this app help me to use all time,5,2025-11-24,POSITIVE,0.997163951396942,Google Play Store
1,good,good,5,2025-11-24,POSITIVE,0.999816119670868,Google Play Store
1,why we can't send money to other people telebirr wallets??,why we cant send money to other people telebirr wallets,1,2025-11-24,NEGATIVE,0.9984826445579528,Google Play Store
1,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,አታፍሩም ግን ለ birr ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,NEGATIVE,0.9856644868850708,Google Play Store
1,በጣም ቀላልና ምቹ ነው።,በጣም ቀላልና ምቹ ነው።,5,2025-11-23,NEGATIVE,0.8832131028175354,Google Play Store
1,wow,wow,5,2025-11-23,POSITIVE,0.999592125415802,Google Play Store
1,nice,nice,5,2025-11-22,POSITIVE,0.9998552799224854,Google Play Store
1,you are the reason why i got ye chogara himem,you are the reason why i got ye chogara himem,1,2025-11-22,NEGATIVE,0.9818922877311708,Google Play Store
1,it is so smart app i recommend it for everyone,it is so smart app i recommend it for everyone,5,2025-11-22,POSITIVE,0.9998483657836914,Google Play Store
1,excellent,excellent,5,2025-11-22,POSITIVE,0.9998434782028198,Google Play Store
1,ዳጊ,ዳጊ,5,2025-11-21,NEGATIVE,0.6970565915107727,Google Play Store
1,absolutely right,absolutely right,5,2025-11-21,POSITIVE,0.9998525381088256,Google Play Store
